Index of pulse,Tpi,Tpp,Tsys,Tdia,Tsp,Tdp,deltaT,Tsw10,Tsw25,Tsw33,Tsw50,Tsw66,Tsw75,Tsw90,Tdw10,Tdw25,Tdw33,Tdw50,Tdw66,Tdw75,Tdw90,Tpw10,Tpw25,Tpw33,Tpw50,Tpw66,Tpw75,Tpw90,Asp,Adn,Adp,Aoff,AUCpi,AUCsys,AUCdia
135,0.5999999999999943,0.583999999999989,0.336,0.18399999999999433,0.16800000000000637,0.416,0.24799999999999361,0.12000000000000455,0.09600000000000364,0.08800000000000807,0.07200000000000273,0.056000000000011596,0.04800000000000182,0.03200000000001069,0.367999999999995,0.28000000000000114,0.11199999999999477,0.08799999999999386,0.06399999999999295,0.055999999999997385,0.031999999999996476,0.48799999999999955,0.3760000000000048,0.20000000000000284,0.1599999999999966,0.12000000000000455,0.1039999999999992,0.06400000000000716,1.442905980432744,0.3627306029608234,0.1282848810085836,0.0946964692655703,10.587253055011141,5.83743506859429,4.749817986416851
136,0.5840000000000032,0.5919999999999987,0.328,0.18400000000000316,0.15200000000000102,0.4,0.247999999999999,0.11199999999999477,0.09599999999998943,0.08799999999999386,0.07199999999998852,0.055999999999997385,0.04799999999998761,0.031999999999996476,0.3680000000000092,0.14400000000000546,0.12000000000000455,0.09600000000000364,0.07200000000000273,0.06400000000000716,0.03200000000001069,0.480000000000004,0.23999999999999488,0.2079999999999984,0.16799999999999216,0.1280000000000001,0.11199999999999477,0.06400000000000716,1.3365634809404274,0.19538962381607494,-0.06451297395830224,-0.10243257270257311,9.302255805862314,5.301902249321832,4.000353556540483
137,0.6000000000000085,0.6000000000000085,0.344,0.17600000000000854,0.1599999999999966,0.424,0.2640000000000034,0.11199999999999477,0.09599999999998943,0.08799999999999386,0.07199999999998852,0.055999999999997385,0.04799999999998761,0.031999999999996476,0.3760000000000048,0.1840000000000117,0.1360000000000099,0.10400000000001342,0.0800000000000125,0.06400000000000716,0.04000000000000625,0.48799999999999955,0.28000000000000114,0.22400000000000375,0.17600000000000193,0.1360000000000099,0.11199999999999477,0.07200000000000273,1.5213982900538467,0.3717949715128585,0.0041185210579510745,-0.013320029171327352,6.593939965199569,4.217146645497115,2.376793319702454
138,0.6079999999999899,0.6080000000000041,0.344,0.1839999999999899,0.1599999999999966,0.424,0.2640000000000034,0.12000000000000455,0.09600000000000364,0.08800000000000807,0.07200000000000273,0.055999999999997385,0.04800000000000182,0.031999999999996476,0.367999999999995,0.14399999999999125,0.1280000000000001,0.09600000000000364,0.07200000000000273,0.06399999999999295,0.03999999999999204,0.48799999999999955,0.23999999999999488,0.21600000000000819,0.16800000000000637,0.1280000000000001,0.11199999999999477,0.07199999999998852,1.5108398049607805,0.3625091662843821,0.08409728486868018,0.0602779081096535,11.124298447823817,6.116594928983636,5.007703518840181
139,0.5840000000000032,0.583999999999989,0.328,0.1760000000000032,0.1600000000000108,0.408,0.24799999999998917,0.12000000000000455,0.09600000000000364,0.08800000000000807,0.07200000000000273,0.056000000000011596,0.04800000000000182,0.02400000000000091,0.367999999999995,0.19999999999998863,0.11999999999999034,0.08799999999999386,0.07199999999998852,0.055999999999997385,0.03999999999999204,0.48799999999999955,0.29599999999999227,0.2079999999999984,0.1599999999999966,0.1280000000000001,0.1039999999999992,0.06399999999999295,1.412727397261221,0.28048641918582884,-0.01141954738535178,-0.038591550075119385,8.514568985017071,4.955945117852386,3.558623867164685
140,0.5919999999999987,0.5840000000000032,0.336,0.18399999999999878,0.1599999999999966,0.408,0.24800000000000338,0.11999999999999034,0.09599999999998943,0.08799999999999386,0.07199999999998852,0.06399999999999295,0.04800000000000182,0.031999999999996476,0.3680000000000092,0.23199999999999932,0.12000000000000455,0.09600000000000364,0.07200000000000273,0.056000000000011596,0.03200000000001069,0.48799999999999955,0.32799999999998875,0.2079999999999984,0.16799999999999216,0.13599999999999568,0.10400000000001342,0.06400000000000716,1.5757690971277714,0.3012635006252283,-0.023313274879517287,-0.058234884188674174,8.811266071238041,5.143058159386433,3.668207911851608
141,0.5919999999999987,0.6000000000000085,0.336,0.19199999999999873,0.15200000000000102,0.4,0.247999999999999,0.11199999999999477,0.09600000000000364,0.08799999999999386,0.07200000000000273,0.055999999999997385,0.04800000000000182,0.02400000000000091,0.35200000000000387,0.14400000000000546,0.1280000000000001,0.09600000000000364,0.07200000000000273,0.06400000000000716,0.04000000000000625,0.46399999999999864,0.2400000000000091,0.21599999999999397,0.16800000000000637,0.1280000000000001,0.11200000000000898,0.06400000000000716,1.6334583125895858,0.34312375643264725,0.07826078609693088,0.047762577462563405,11.605829958123447,6.337183892137152,5.268646065986295
142,0.6000000000000085,0.5999999999999943,0.328,0.2000000000000085,0.1600000000000108,0.4,0.23999999999998922,0.11200000000000898,0.08800000000000807,0.0800000000000125,0.06400000000000716,0.056000000000011596,0.04800000000000182,0.02400000000000091,0.35199999999998965,0.14399999999999125,0.11999999999999034,0.09599999999998943,0.07199999999998852,0.06399999999999295,0.03999999999999204,0.46399999999999864,0.23199999999999932,0.20000000000000284,0.1599999999999966,0.1280000000000001,0.11199999999999477,0.06399999999999295,1.6040789551104957,0.38263321400425754,0.10640215173721201,0.04901296258200505,11.524675284172487,6.0789369155366675,5.445738368635819
143,0.5919999999999987,0.5919999999999987,0.328,0.17599999999999877,0.1599999999999966,0.416,0.2560000000000034,0.11199999999999477,0.09600000000000364,0.08799999999999386,0.07200000000000273,0.055999999999997385,0.04800000000000182,0.031999999999996476,0.367999999999995,0.22400000000000375,0.12000000000000455,0.08799999999999386,0.06399999999999295,0.055999999999997385,0.031999999999996476,0.47999999999998977,0.3200000000000074,0.2079999999999984,0.1599999999999966,0.11999999999999034,0.1039999999999992,0.06399999999999295,1.4600586252971526,0.21883192471954604,-0.1017285998534776,-0.11758119389811139,9.348131217904893,5.2460980321717265,4.102033185733166
144,0.5919999999999987,0.5919999999999987,0.336,0.18399999999999878,0.1599999999999966,0.408,0.24800000000000338,0.12000000000000455,0.1039999999999992,0.09600000000000364,0.0799999999999983,0.06399999999999295,0.055999999999997385,0.031999999999996476,0.367999999999995,0.2639999999999958,0.1280000000000001,0.09600000000000364,0.07200000000000273,0.055999999999997385,0.031999999999996476,0.48799999999999955,0.367999999999995,0.22400000000000375,0.17600000000000193,0.13599999999999568,0.11199999999999477,0.06399999999999295,1.7090662478342566,0.4248107348470822,0.06893249481485086,0.031075468755366265,12.813118205989802,6.851118686135728,5.961999519854074
