Index of pulse,IPR,Tsys/Tdia,Tpw25/Tpi,Tpw50/Tpi,Tpw75/Tpi,Tpw25/Tsp,Tpw50/Tsp,Tpw75/Tsp,Tdw10/Tsw10,Tdw25/Tsw25,Tdw33/Tsw33,Tdw50/Tsw50,Tdw66/Tsw66,Tdw75/Tsw75,Tdw90/Tsw90,Tsp/Tpi,Asp/Aoff,Adp/Asp,IPA,Tsp/Asp,Asp/deltaT,Asp/(Tpi-Tsp)
19,100.00000000000006,1.8333333333333364,0.4266666666666673,0.2799999999999989,0.18666666666666695,1.6,1.0499999999999945,0.7,3.0666666666666895,1.6666666666666667,1.4545454545454692,1.3333333333333497,1.285714285714322,1.3333333333333333,1.2500000000000278,0.26666666666666705,-2.8732105231238783,0.026256305813705604,-0.19088812607654415,0.09689819223548211,6.658135466084959,3.752767262702433
20,98.6842105263157,2.142857142857136,0.3815789473684225,0.27631578947368274,0.18421052631578946,1.4500000000000055,1.0499999999999945,0.7,3.142857142857143,1.4166666666666758,1.3636363636363875,1.3333333333333497,1.285714285714322,1.3333333333333333,1.6666666666667653,0.2631578947368421,-3.3643736498660655,0.06388608679086971,0.9418152576022947,0.09990112589964247,5.719941254742328,3.57496328421395
21,98.6842105263157,1.7916666666666696,0.5064935064935087,0.2597402597402601,0.18181818181818207,1.9500000000000055,1.0,0.7,3.499999999999992,2.5454545454545197,1.6,1.5,1.2857142857142494,1.3333333333333333,1.666666666666568,0.2597402597402601,-2.751231600720147,-0.013831458651889837,0.567326684794402,0.10478892337860023,5.783632339373527,3.3484187227952016
22,101.35135135135157,1.8636363636363584,0.6388888888888888,0.2777777777777778,0.18055555555555403,2.421052631578933,1.0526315789473624,0.6842105263157796,3.142857142857127,2.8333333333333335,1.3636363636363398,1.2222222222221948,1.1428571428571248,1.166666666666648,1.0,0.26388888888889045,-2.7062160701696363,0.01072276431252179,-0.5377733662711018,0.10051193457120518,6.097815432775918,3.566646762567036
23,99.99999999999976,1.8000000000000034,0.41333333333333544,0.2799999999999989,0.18666666666666695,1.4761904761904894,1.0,0.6666666666666702,2.933333333333355,1.5833333333333426,1.4545454545454692,1.3333333333333497,1.1250000000000138,1.0000000000000318,1.0,0.2799999999999989,-2.7997817286469844,0.012420016773458133,0.3209139277634728,0.10000236565754919,7.241208008160874,3.88879689327159
24,98.684210526316,1.9565217391304384,0.40259740259740173,0.27272727272727165,0.18181818181818207,1.4761904761904632,0.9999999999999895,0.6666666666666632,2.9999999999999702,1.5833333333333242,1.4545454545454197,1.3333333333332922,1.2857142857142494,1.3333333333333333,1.2499999999999722,0.27272727272727454,-3.0660167540592655,0.038183719037970805,1.2750998850623283,0.09885930602114526,6.437063560081328,3.793269597905065
25,100.00000000000006,1.826086956521725,0.5974025974025965,0.2727272727272709,0.16883116883117003,2.3,1.0499999999999945,0.6500000000000056,3.2000000000000237,2.8333333333333335,1.3636363636363875,1.3333333333333497,1.285714285714322,1.1666666666666852,1.0,0.2597402597402594,-3.0687787312148576,0.03762618700686924,2.0559868261273917,0.09911888750900359,5.934643829252168,3.539962985869702
26,99.99999999999976,1.8636363636363673,0.39726027397260183,0.27397260273972646,0.17808219178082066,1.611111111111125,1.111111111111125,0.722222222222225,3.2857142857142856,1.636363636363653,1.6,1.5,1.285714285714322,1.6000000000000356,1.6666666666667653,0.24657534246575075,-2.6970356117485683,-0.014919205213706727,0.44032450628395886,0.09404925764787841,5.799668802243229,3.4798012813459485
27,100.00000000000006,1.8260869565217515,0.5000000000000014,0.27631578947368646,0.1710526315789464,1.9,1.0500000000000056,0.6499999999999945,3.1333333333333027,2.1666666666666665,1.45454545454544,1.3333333333333168,1.2857142857142494,1.166666666666648,1.0,0.26315789473684287,-2.8011716907908757,0.013856813274076223,0.023703390800484433,0.09860282513929847,6.146483178391809,3.6220347301237537
28,98.6842105263157,1.7499999999999793,0.4054054054054012,0.28378378378378144,0.17567567567567965,1.5789473684210318,1.1052631578947245,0.684210526315803,3.2142857142856553,1.4999999999999816,1.36363636363636,1.3333333333333497,1.2857142857142494,1.166666666666642,1.0,0.25675675675675746,-2.9490318165824254,0.04223549937391255,1.831187519531181,0.09321461587678959,6.57518373102121,3.706012648393747
29,100.00000000000036,1.8695652173913075,0.36363636363636415,0.25974025974025433,0.1688311688311734,1.3333333333333404,0.9523809523809362,0.6190476190476382,3.066666666666629,1.3333333333333333,1.2727272727272396,1.2222222222222003,1.1428571428571248,1.166666666666642,1.0,0.27272727272727165,-3.40639211177996,0.0664295335866915,1.0120193235716373,0.1044560606588157,6.092165761852566,3.590026252520269
30,99.99999999999976,1.8260869565217601,0.373333333333335,0.26666666666666783,0.17333333333333262,1.4736842105263417,1.0526315789473868,0.6842105263157956,3.2857142857143535,1.5454545454546225,1.5000000000000444,1.5,1.2857142857143944,1.1666666666667282,1.3333333333334814,0.25333333333333,-2.8588848673821268,0.0009681640431068384,0.3717811418980525,0.10674423537862576,5.39380486183003,3.178492150721295
