Index of pulse,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
139,0.15068493150685217,0.3835616438356237,0.6027397260274087,0.05479452054794624,0.24657534246575807,0.3835616438356237,0.3835616438356237,0.4794520547945296,0.7123287671233011,0.09589041095890358,0.13698630136986228,0.13035796326091967,-0.7725267537732027,0.10124197610615013,-1.2597834090501823,-0.2402773128805708,-0.2402773128805708,0.7819286540575571,-0.23754325295066453,-0.4287865140880381,1.0195060961696114,1.0195060961696114,-1.5611574373465977,-0.7792287832890407,-2.0417120631077394,-0.77651257693038,0.053392933037629944,0.053392933037629944,-0.02122246429494596,0.4777741954676052
140,0.15068493150684847,0.38356164383561436,0.6164383561643801,0.05479452054794491,0.21917808219177964,0.3698630136986281,0.3698630136986281,0.4931506849315041,0.7534246575342425,0.09459459459459478,0.1621621621621625,0.13881493812550194,-0.6233548075234098,0.05803589431284428,-1.1734060913122766,-0.20771449793222582,-0.20771449793222582,0.5321814492831989,-0.15583170617699418,0.6233056026259453,0.9656915933800506,0.9656915933800506,-1.2901585447310238,-0.7579770954478249,-1.7055875405954755,-0.369906663484635,-0.036545329523039155,-0.036545329523039155,-0.02614815008616798,0.5055202737097938
141,0.14666666666666459,0.3866666666666612,0.5866666666666583,0.053333333333332573,0.2133333333333303,0.34666666666666174,0.34666666666666174,0.47999999999999315,0.6399999999999909,0.09459459459459478,0.17567567567567607,0.14234496749536882,-0.6115580565026986,0.05414055788893317,-1.2357940395392137,-0.28552700117440843,-0.28552700117440843,0.5693644749685791,-0.12324367543859972,0.6842045395794201,0.9502670383648053,0.9502670383648053,-1.234104512158976,-0.6647400371903969,-1.8051585145077929,-0.3146650731237162,0.11019849304075172,0.11019849304075172,-0.026082871339068274,0.5458590143905425
142,0.16000000000000153,0.3866666666666703,0.6000000000000056,0.08000000000000076,0.22666666666666882,0.3866666666666703,0.3866666666666703,0.493333333333338,0.6666666666666731,0.07999999999999886,0.15999999999999773,0.13641478923581404,-0.6248089882872283,0.12145764260583974,-1.2658396079963974,-0.059964418301088056,-0.059964418301088056,0.6096386330041186,-0.3126586824368877,0.5220903872357067,1.2058751896953093,1.2058751896953093,-1.7555494043983397,-1.1459107713942212,-1.875478241000516,-0.4667207021530591,0.1968593876755655,0.1968593876755655,-0.027470396008751154,0.8358728710640135
143,0.14864864864864896,0.36486486486486563,0.6081081081081093,0.06756756756756771,0.22972972972973024,0.2972972972972979,0.2972972972972979,0.48648648648648746,0.7567567567567584,0.08108108108108124,0.1351351351351354,0.13897476425074307,-0.6609392004641079,0.08398520619284358,-1.3444651314565723,-0.9253646669635243,-0.9253646669635243,0.582830399994221,-0.16671057011084348,-0.3041713882685245,0.41910046449304816,0.41910046449304816,-0.07656619752374498,0.5062642024704761,-1.9272955314507934,-1.2269149240284574,0.36837183354035935,0.36837183354035935,-0.026410723265552282,-0.14344386400150866
144,0.14864864864864896,0.3918918918918927,0.6081081081081093,0.05405405405405417,0.21621621621621667,0.3513513513513521,0.3513513513513521,0.48648648648648746,0.7567567567567584,0.09459459459459478,0.17567567567567607,0.13750113713660367,-0.6094246706455623,0.04076049212444753,-1.1723312088497067,-0.3410154227770161,-0.3410154227770161,0.554125071726808,-0.1602368429384673,0.7260252796795191,0.8313157860726906,0.8313157860726906,-1.0444254350224826,-0.49030036329567456,-1.726456280576515,-0.2739747203204809,0.08658951379227625,0.08658951379227625,-0.025820721233119074,0.5292073529455938
145,0.14666666666666459,0.373333333333328,0.6266666666666577,0.053333333333332573,0.2133333333333303,0.29333333333332917,0.29333333333332917,0.46666666666666007,0.7199999999999898,0.09459459459459478,0.1621621621621625,0.1411864112721668,-0.6204816177157277,0.045732695400089736,-1.1915372568672196,-0.8419166779784959,-0.8419166779784959,0.445022324899462,-0.14068281583859632,-0.26248840288321823,0.34962057888872355,0.34962057888872355,0.04727377419031042,0.4922960990897724,-1.6365595817666814,-1.1979654892312805,-0.09351533592047179,-0.09351533592047179,-0.026064499888457097,0.3963554504291922
146,0.1621621621621625,0.3783783783783792,0.6081081081081093,0.08108108108108125,0.24324324324324373,0.2972972972972979,0.2972972972972979,0.500000000000001,0.6756756756756771,0.0789473684210521,0.13157894736842018,0.1368097212569847,-0.6031977439800557,0.0709096491659595,-1.4163312616079677,-1.121587772480606,-1.121587772480606,0.5455089994914771,-0.16295941225423302,-0.16084101382811317,0.2947434891273617,0.2947434891273617,0.28133528386176715,0.8268442833532442,-1.9618402610994448,-1.1414757846379233,-0.5752958087855448,-0.5752958087855448,-0.02704012709968941,-0.24740504549146702
147,0.14864864864864896,0.3513513513513521,0.5810810810810823,0.05405405405405417,0.21621621621621667,0.2837837837837844,0.2837837837837844,0.4594594594594605,0.64864864864865,0.09589041095890591,0.1369863013698656,0.14525078563969648,-0.6233198945668191,0.033529821919940986,-1.3206099805015816,-0.913745385867254,-0.913745385867254,0.5167294495323503,-0.1422557349151631,-0.23612565790122006,0.40686459463432767,0.40686459463432767,-0.009848658299424063,0.5068807912329263,-1.8373394300339319,-1.1717516971847364,-0.03723725013712176,-0.03723725013712176,-0.02652295211007511,-0.16085951374428697
148,0.14864864864864896,0.3783783783783792,0.6081081081081093,0.05405405405405417,0.21621621621621667,0.2837837837837844,0.2837837837837844,0.48648648648648746,0.770270270270272,0.09589041095890358,0.16438356164383472,0.1378911524039496,-0.5869116703964888,0.022763221902783022,-1.1340863594560484,-0.9234323064583725,-0.9234323064583725,0.4948746409171725,-0.13171645770874127,-0.14111584046137277,0.21065405299767587,0.21065405299767587,0.21790361254352414,0.7127782534606966,-1.628961000373221,-1.12780695282586,-0.7001621621804917,-0.7001621621804917,-0.023761370245742906,-0.1647082400795088
149,0.1621621621621625,0.3918918918918927,0.5810810810810823,0.06756756756756771,0.22972972972973024,0.3513513513513521,0.3513513513513521,0.472972972972974,0.6081081081081093,0.093333333333332,0.15999999999999773,0.13639457705863195,-0.6335672263676532,-0.07585756942057996,-1.2447292353704782,-0.4756165469884822,-0.4756165469884822,0.5336107076360522,-0.027211164161322892,0.7914079649807588,0.769112688381996,0.769112688381996,-0.8271068490295661,-0.29349614139351377,-1.7783399430065305,-0.20521826142937546,0.16753908004895704,0.16753908004895704,-0.023969614888590438,0.058611150004399204
150,0.1621621621621625,0.3783783783783792,0.6081081081081093,0.06756756756756771,0.22972972972973024,0.31081081081081147,0.31081081081081147,0.48648648648648746,0.7432432432432449,0.09333333333333423,0.14666666666666806,0.139056245843836,-0.6385199958017677,0.10324728108483061,-1.308129959603153,-0.9122896318957449,-0.9122896318957449,0.6282972822628828,-0.16710806149630408,-0.1927066339845304,0.39584032770740823,0.39584032770740823,-0.11184797807454618,0.5164493041883367,-1.936427241866036,-1.1184825904014775,-1.153236267887642,-1.153236267887642,-0.026833018601113017,-0.06901800115053847
151,0.15068493150684847,0.3972602739726006,0.6164383561643801,0.05479452054794491,0.21917808219177964,0.3150684931506832,0.3150684931506832,0.47945205479451797,0.7534246575342425,0.09459459459459478,0.17567567567567607,0.13839266713753226,-0.6235446059052243,0.025882035091091115,-1.1083557523831118,-0.7224580878278759,-0.7224580878278759,0.5149680803518674,-0.12553889536131516,0.9389063883330548,0.3858976645552359,0.3858976645552359,-0.17840765707922734,0.33656042327264,-1.623323832734979,-0.0606509466013598,0.10527591048157293,0.10527591048157293,-0.023922589593679735,0.041876033387592826
152,0.1333333333333346,0.3733333333333369,0.6000000000000056,0.04000000000000038,0.21333333333333535,0.3066666666666696,0.3066666666666696,0.4666666666666711,0.7466666666666738,0.0945945945945948,0.1621621621621625,0.13832812267182062,-0.6182663974090998,0.018617662956562104,-1.1056832018944374,-0.6219872374108947,-0.6219872374108947,0.5030264804251957,-0.11014783898382972,0.9055547879048684,0.4836959644835426,0.4836959644835426,-0.3647352074978436,0.13829127292735213,-1.608709682319633,-0.09430294336524275,0.0996965397671125,0.0996965397671125,-0.02064436539742818,0.1663400055842934
153,0.1621621621621625,0.3783783783783792,0.6216216216216229,0.06756756756756771,0.22972972972973024,0.31081081081081147,0.31081081081081147,0.48648648648648746,0.7297297297297313,0.0945945945945948,0.14864864864864896,0.1272923748989237,-0.7131046595694587,0.11521479093638412,-1.299055838412626,-0.9055025254979452,-0.9055025254979452,0.6512120846976336,-0.23700743989092962,-0.2690618425589783,0.39355331291468076,0.39355331291468076,-0.1392628721143692,0.5119492125832644,-1.9502679231102595,-1.1712055775685928,0.35568261329026923,0.35568261329026923,-0.025578621475701977,-0.16647873257854007
154,0.14864864864864896,0.3783783783783792,0.6216216216216229,0.05405405405405417,0.21621621621621667,0.36486486486486563,0.36486486486486563,0.48648648648648746,0.7297297297297313,0.09459459459459252,0.16216216216215862,0.14201004947283688,-0.6248994348242617,0.06900905385142822,-1.1583081985945551,-0.22749226181152835,-0.22749226181152835,0.4994542633979914,-0.16544606473479623,0.6191796829073231,0.9308159367830269,0.9308159367830269,-1.2027779383694899,-0.7033236749714985,-1.6577624619925466,-0.37394528366061447,-0.08693128681636313,-0.08693128681636313,-0.02103665016739659,0.4538835106166692
155,0.14666666666666806,0.3866666666666703,0.6266666666666726,0.053333333333333836,0.21333333333333535,0.33333333333333653,0.33333333333333653,0.48000000000000453,0.7333333333333403,0.09333333333333421,0.17333333333333498,0.13783102178284348,-0.6219784536616522,0.04890311256349985,-1.1526463781948284,-0.47348838143385286,-0.47348838143385286,0.5360886729249269,-0.1667269302609127,0.807365829242827,0.6791579967609755,0.6791579967609755,-0.7417582882520495,-0.20566961532712263,-1.6887350511197552,-0.19263417075717304,0.09204299337924285,0.09204299337924285,-0.024816639035133595,0.31606707210426177
156,0.14864864864864896,0.3783783783783792,0.5945945945945958,0.06756756756756771,0.22972972972973024,0.3513513513513521,0.3513513513513521,0.48648648648648746,0.6621621621621636,0.08000000000000075,0.14666666666666806,0.13841554700267186,-0.6689154616851174,0.11629137991398952,-1.2312767589793896,-0.3677861029802752,-0.3677861029802752,0.6382374215514517,-0.19389495134813517,0.700508433316795,0.8634906559991143,0.8634906559991143,-1.1339419745702908,-0.49570455301883914,-1.8695141805308413,-0.294692408905135,0.048374205084548476,0.048374205084548476,-0.024325824939029767,2.1604316353637194
157,0.14864864864864896,0.36486486486486563,0.5945945945945958,0.05405405405405417,0.21621621621621667,0.3513513513513521,0.3513513513513521,0.472972972972974,0.6891891891891906,0.09589041095890358,0.15068493150684847,0.13989168508386923,-0.6508795958506056,0.09013413298142613,-1.2444156494280099,-0.2578372367578697,-0.2578372367578697,0.5894890933057204,-0.19313957023333866,0.6493882938323876,0.9865784126701402,0.9865784126701402,-1.318230269217991,-0.7287411759122705,-1.8339047427337303,-0.3369955172503479,-0.023898954766740872,-0.023898954766740872,-0.025219552099030547,0.5087153949700021
158,0.14864864864864896,0.3783783783783792,0.6351351351351365,0.05405405405405417,0.21621621621621667,0.33783783783783855,0.33783783783783855,0.472972972972974,0.7297297297297313,0.09333333333333199,0.15999999999999773,0.13808128599697128,-0.6350479194825737,0.07010669780785815,-1.1381893905170797,-0.4318018576318995,-0.4318018576318995,0.48944817008351377,-0.2041231258731226,0.786794724286664,0.7063875328851802,0.7063875328851802,-0.7640338453367945,-0.2745856752532807,-1.6276375606005935,-0.20944705544459183,-0.0012213319120874765,-0.0012213319120874765,-0.026091376166687472,0.18668807578286928
159,0.13333333333333144,0.373333333333328,0.5999999999999914,0.053333333333332573,0.19999999999999715,0.3333333333333286,0.3333333333333286,0.47999999999999315,0.733333333333323,0.08108108108108125,0.17567567567567607,0.14617177355333408,-0.587993490839183,0.06378090435598943,-1.1375819931247961,-0.2733612038985665,-0.2733612038985665,0.5036550838953393,-0.1374433823146571,0.7068514025995412,0.8642207892262297,0.8642207892262297,-1.0945146692230023,-0.5908595853276631,-1.6412370770201354,-0.2931485974004588,0.050018695718564474,0.050018695718564474,-0.02547191793004364,0.6086886109251135
160,0.1621621621621625,0.3783783783783792,0.6081081081081093,0.06756756756756771,0.22972972972973024,0.2972972972972979,0.2972972972972979,0.500000000000001,0.6891891891891906,0.09210526315789627,0.14473684210526555,0.13500870013037874,-0.6386644854911141,0.12258516277482824,-1.3237538496387895,-0.9919880892411786,-0.9919880892411786,0.6304620199803703,-0.1942804873662735,-0.20062700384328358,0.33176576039761085,0.33176576039761085,0.029760308863197478,0.6602223288435678,-1.95421586961916,-1.158931155114911,-0.41904120993151844,-0.41904120993151844,-0.029632272336238528,-0.07656171336795603
161,0.13513513513513542,0.36486486486486563,0.5945945945945958,0.05405405405405417,0.20270270270270313,0.324324324324325,0.324324324324325,0.4594594594594605,0.7027027027027042,0.08219178082191736,0.16438356164383472,0.14507515727587614,-0.6629709662167848,0.07845170823889075,-1.1380378031411111,-0.3680466908028616,-0.3680466908028616,0.5438450818999379,-0.17817034140527804,0.7216064547440492,0.7699911123382496,0.7699911123382496,-0.9457895034353258,-0.4019444215353879,-1.681882885041049,-0.27640801590427105,-0.16565460620952652,-0.16565460620952652,-0.0260266163688979,0.44041706585075585
162,0.13513513513513542,0.36486486486486563,0.5945945945945958,0.05405405405405417,0.20270270270270313,0.27027027027027084,0.27027027027027084,0.4594594594594605,0.6891891891891906,0.08108108108108125,0.1621621621621625,0.15157449270113668,-0.5583185915549688,0.054539413197607085,-1.0439927228452748,-0.831554459824084,-0.831554459824084,0.4062502446643217,-0.1181666386376526,-0.1568258355744039,0.2124382630211907,0.2124382630211907,0.21286595213857162,0.6191161968028933,-1.4502429675095965,-1.142954682471975,-1.3604158500229506,-1.3604158500229506,-0.02284460845153576,-0.010835130910846758
163,0.14666666666666459,0.373333333333328,0.6133333333333246,0.053333333333332573,0.2133333333333303,0.27999999999999603,0.27999999999999603,0.47999999999999315,0.733333333333323,0.09333333333333199,0.15999999999999773,0.13676203801959294,-0.6426380603488834,0.060497867075782905,-1.216882590295845,-0.9176814583104368,-0.9176814583104368,0.5065497077228499,-0.15711298954896236,-0.2843164130958897,0.29920113198540804,0.29920113198540804,0.11193061860217879,0.6184803263250287,-1.7234322980186947,-1.248957721564198,0.20031708097055928,0.20031708097055928,-0.026436379910928644,-0.2098036539676884
164,0.14666666666666806,0.36000000000000343,0.6000000000000056,0.0666666666666673,0.22666666666666882,0.2933333333333361,0.2933333333333361,0.4666666666666711,0.6933333333333399,0.08000000000000075,0.13333333333333458,0.1402420966625555,-0.6464532192613928,0.09877836194833145,-1.312076039564944,-0.8876764575131361,-0.8876764575131361,0.5675396079938904,-0.18422682484430988,-0.22998766068529866,0.424399582051808,0.424399582051808,-0.10426273253256224,0.46327687546132806,-1.8796156475588341,-1.156747448286999,-0.712803435204982,-0.712803435204982,-0.025970540213188207,-0.03805089747884871
165,0.14864864864864896,0.36486486486486563,0.5945945945945958,0.05405405405405417,0.21621621621621667,0.2837837837837844,0.2837837837837844,0.472972972972974,0.7297297297297313,0.09589041095890358,0.15068493150684847,0.13331465708064574,-0.6849306839736528,0.07737780177036443,-1.3111871904182142,-0.9507283522681093,-0.9507283522681093,0.5797388686003124,-0.17856741515546737,-0.2548708236847073,0.360458838150105,0.360458838150105,0.010530645517691792,0.5902695141180042,-1.8909260590185266,-1.1914227239368465,0.46908732843887607,0.46908732843887607,-0.025979112753107197,-0.18777634012114242
